Customer ID,Total Output Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun
PK01000128051001,23120.71,23149.51,23179.37,23207.38,23234.17,23258.14,23284.81,23311.19,23336.05,23363.1,23389.72,23415.44,23440.81,23466.57,23496.51,23524.93,23550.36,23575.7,23603.1,23631.01,23662.23,23690.89,23716.68,23743.89,23769.33,23794.62,23821.2,23845.06,23869.26,23893.34
PK01000128056001,12535730,12541698,12547340,12552894,12558386,12563854,12569176,12574438,12579776,12584860,12590036,12595570,12600736,12606594,12612546,12618564,12623680,12628754,12634640,12641070,12647316,12653548,12659156,12665114,12670244,12675936,12681722,12687176,12692462,12697720
PK01000128062001,58555.68,58586.1,58615.2,58644.49,58671.04,58697.2,58723.89,58751.38,58779.12,58805.82,58833.05,58860.92,58887.19,58916.17,58946.26,58976.08,59003.65,59029.36,59058.05,59089.25,59120.62,59151.56,59180.96,59209.26,59235.15,59261.71,59290.34,59317.69,59345.19,59372.03
PK01000128120001,4277652.8,4280560,4283621.6,4286784,4289288,4291677.6,4294192.8,4296756,4299262.4,4301822.4,4304664,4307248.8,4309675.2,4312492.8,4315473.6,4318349.6,4321105.6,4323928,4326712,4329852.8,4332912,4335949.6,4338801.6,4341719.2,4344395.2,4347009.6,4349770.4,4352326.4,4354788,4357252.8
PK01000128128001,60866.86,60898.26,60931.67,60964.24,60991.9,61018.43,61045.25,61073.21,61101.03,61129.44,61157.95,61186.11,61211.95,61241.72,61274.1,61305.32,61334.64,61362.22,61393.16,61428.36,61462.62,61496.42,61527.73,61559.69,61587.29,61617.11,61647.62,61675.97,61702.91,61729.88
PK01000128130001,75484.09,75503.27,75523.79,75545.56,75562.57,75579.01,75595.57,75612.68,75629.93,75647.65,75666.35,75683.59,75699.6,75717.93,75737.46,75756.3,75775.62,75794.31,75812.95,75833.58,75853.99,75873.72,75892.71,75912.5,75930.74,75948.46,75967.32,75984.85,76001.8,76018.38
PK01000128161001,63939.5,63963.33,63988.93,64014.52,64035.07,64055.35,64075.66,64096.99,64118.19,64140.05,64163.19,64183.98,64203.87,64226.65,64251.05,64275.61,64298.51,64320.89,64344.87,64370.79,64395.98,64421.15,64445.29,64468.96,64490.96,64513.02,64536.53,64558.47,64579.3,64600.12
PK01000128203001,65450.51,65473.76,65497.4,65520.12,65540.4,65560.61,65581.7,65603.49,65623.68,65643.46,65664.73,65686.24,65705.61,65727.05,65748.91,65771.11,65792.99,65812.45,65832.3,65855.79,65879.84,65902.58,65924.49,65946.04,65964.69,65983.7,66004.1,66023.69,66044.14,66062.39
PK01000128555001,7316843.2,7321211.2,7325857.6,7330390.4,7334324.8,7338092.8,7341904,7345745.6,7349579.2,7353443.2,7357544,7361454.4,7365044.8,7369208,7373660.8,7377984,7381971.2,7385883.2,7390072,7394902.4,7399569.6,7404075.2,7408459.2,7412625.6,7416648,7420734.4,7424948.8,7428780.8,7432585.6,7436491.2
PK01000128557001,8771670.4,8775958.4,8780465.6,8785104,8789067.2,8792852.8,8796721.6,8800643.2,8804579.2,8808473.6,8812763.2,8816728,8820364.8,8824614.4,8829100.8,8833472,8837622.4,8841697.6,8845944,8850588.8,8855192,8859665.6,8863995.2,8868233.6,8872315.2,8876395.2,8880574.4,8884476.8,8888243.2,8892048
PK01000128558001,93066.68,93104.13,93142.34,93181.26,93213.8,93245.4,93277.17,93310.11,93343.4,93377.83,93413.01,93445.5,93476.69,93512.15,93549.42,93586.7,93621.85,93657.55,93692.92,93732.48,93771.72,93810.9,93846.2,93882.18,93916.47,93950.73,93985.39,94018.11,94050.2,94082.84
PK01000128559001,80471.28,80516.98,80564.65,80613.15,80654.28,80692.99,80732.06,80772.26,80811.41,80851.74,80893.85,80934.14,80972.17,81013.66,81058.92,81103.63,81146.9,81188.71,81232.02,81279.54,81325.81,81370.33,81415.57,81458.55,81499.84,81541.96,81584.34,81624.29,81662.61,81700.71
PK01000128564001,61287.4,61313.65,61341.09,61369,61392.67,61415.71,61439.15,61463.65,61487.59,61512.24,61537.88,61562.46,61585.17,61610.62,61637.11,61663.54,61689.35,61714.21,61739.53,61767.08,61794.75,61821.81,61847.96,61874.11,61898.77,61923.7,61949.44,61972.96,61996.83,62020.42
PK01000128601001,66774.83,66821.73,66870.28,66919.27,66960.38,67001.41,67043.06,67085.81,67127.1,67168.16,67210.54,67253.15,67293.92,67339.53,67387.46,67433.27,67475.89,67517.93,67564.27,67615.32,67666.5,67715.06,67762.03,67807.76,67848.66,67890.86,67933.86,67975.06,68014.71,68055.99
PK01000128605001,7514020.8,7519353.6,7524931.2,7530627.2,7535331.2,7539841.6,7544444.8,7549169.6,7553616,7558412.8,7563475.2,7568134.4,7572529.6,7577702.4,7582960,7588484.8,7593467.2,7598376,7603587.2,7609361.6,7615139.2,7620756.8,7626104,7631446.4,7636169.6,7641158.4,7646392,7651134.4,7655657.6,7660214.4
PK01000128608001,33962.37,33973.91,33988.94,34002.16,34012.99,34023.81,34035.04,34046.25,34057.35,34068.78,34081.54,34093.15,34103.93,34115.92,34128.17,34141.24,34152.92,34164.45,34177.15,34191.17,34205.02,34217.16,34228.47,34242.51,34253.62,34264.71,34276.45,34287.04,34297.42,34308.46
PK01000128611001,19291284.8,19294996.8,19298897.6,19303022.4,19306198.4,19309224,19312379.2,19315550.4,19318700.8,19321844.8,19325321.6,19328481.6,19331470.4,19334924.8,19338648,19342262.4,19345604.8,19349000,19352632,19356675.2,19360587.2,19364313.6,19367988.8,19371603.2,19374921.6,19378233.6,19381756.8,19384950.4,19388040,19391123.2
PK01000128613001,23346.71,23361.48,23376.4,23392.68,23405.45,23417.41,23428,23439.55,23452.87,23466.66,23481.13,23493.88,23506.77,23521.06,23539.17,23553.77,23566.64,23579.89,23593.85,23610.47,23626,23641.05,23655.56,23669.14,23680.99,23693.83,23706.63,23718.8,23731.28,23743.44
PK01000128621001,209552.4,212559.6,215730,218978.4,221557.2,224118,226694.4,229332,231993.6,234699.6,237612,240306,242896.8,245798.4,248906.4,251947.2,254803.2,257780.4,260802,264178.8,267354,270058.8,273042,275822.4,278488.8,281235.6,284088,286814.4,289332,291894
PK01000128623001,44991.71,45008.44,45027.54,45046.43,45062.23,45078.22,45094.33,45111.5,45126.89,45144,45161.75,45178.23,45193.03,45208.9,45225.51,45241.95,45259.63,45277.34,45292.02,45306.56,45320.9,45333.45,45346.79,45359.71,45372,45384.56,45397.77,45410.08,45421.71,45433.02
PK01000128629001,61592.18,61614.54,61639.53,61663.92,61683.63,61702.19,61721.33,61742.08,61761.84,61781.91,61803.55,61824.36,61843,61864.71,61887.63,61910.91,61932.97,61954.5,61979.2,62005.04,62030.53,62054.29,62076.56,62098.36,62118.59,62139.08,62160.57,62180.5,62199.45,62219.04
