Date,Output Energy
6/1/2023,23120.71
6/2/2023,23149.51
6/3/2023,23179.37
6/4/2023,23207.38
6/5/2023,23234.17
6/6/2023,23258.14
6/7/2023,23284.81
6/8/2023,23311.19
6/9/2023,23336.05
6/10/2023,23363.1
6/11/2023,23389.72
6/12/2023,23415.44
6/13/2023,23440.81
6/14/2023,23466.57
6/15/2023,23496.51
6/16/2023,23524.93
6/17/2023,23550.36
6/18/2023,23575.7
6/19/2023,23603.1
6/20/2023,23631.01
6/21/2023,23662.23
6/22/2023,23690.89
6/23/2023,23716.68
6/24/2023,23743.89
6/25/2023,23769.33
6/26/2023,23794.62
6/27/2023,23821.2
6/28/2023,23845.06
6/29/2023,23869.26
6/30/2023,23893.34
